doi;SurveyPaper;TheoryPaper;MethodPaper;EmpiricalPaper;SingleTimeSeries;MultipleTimeSeries
10.1145/3578245.3585026;;;1;;;1
10.1111/cgf.14926;;1;1;;;1
10.1111/cgf.14845;;1;1;;;1
10.1016/j.cag.2023.06.009;;1;1;;;1
10.1109/TVCG.2023.3326576;;;;1;1;
10.1111/cgf.14785;1;;;;;1
10.1109/tvcg.2022.3209469;;;1;;;1
10.1109/tvcg.2022.3207929;;;1;;;1
10.1109/icgi57174.2022.9990428;;;;1;1;
10.2312/evs.20221096;;;1;;;1
10.1109/tvcg.2021.3109387;1;1;;;;
10.1109/VIS54862.2022.00013;;;1;;1;
10.1016/j.knosys.2021.107507;;;;;;1
10.1080/01621459.2021.1904957;1;;;;1;
10.1109/tvcg.2021.3114797;;;;1;;1
10.1109/tvcg.2021.3114865;;;1;;;1
10.2312/eurova.20211098;;;;;;1
10.1109/pacificvis52677.2021.00026;;1;;;;
10.1177/14738716211045005;;;1;;;1
10.1109/tvcg.2022.3209431;;;1;;;1
10.1109/TVCG.2021.3114693;;;;1;1;
10.1109/jsen.2020.3046575;;;1;;;1
10.1109/trex53765.2021.00010;1;;;;;1
10.1109/vis49827.2021.9623320;;;1;;1;
10.3390/informatics8010012;1;;;;;1
10.1088/1757-899x/782/2/022013;1;;;;;
10.1109/tvcg.2020.3028889;;;1;;;1
10.1109/vast50239.2020.00006;;;1;;;1
10.2312/eurova.20201086;;;1;;;1
10.1145/3313831.3376237;;;;1;;1
10.1109/tvcg.2020.3030421;;;;1;1;
10.1109/tvcg.2020.3030386;;;1;;;1
10.1111/cgf.13977;;;;1;;1
10.1007/978-981-15-7981-3_22;;;1;;;1
10.1109/pacificvis48177.2020.9915;;;;1;;1
10.1016/j.visinf.2022.10.002;;;1;;;1
10.1145/3377325.3377502;;;;1;;1
10.2312/vcbm.20201174;;;;1;;1
10.1109/tvcg.2019.2934655;;;;;;1
10.1109/bigdata47090.2019.9006559;;;;;;1
10.1109/tvcg.2019.2934784;;;;1;1;
10.1109/iv.2019.00033;;;;1;;1
10.1109/tvcg.2019.2934433;;;1;;;1
10.1111/cgf.13697;;;1;;;1
10.1109/access.2019.2958551;1;;;;;1
10.1109/tvcg.2018.2865077;;;;1;;1
10.1145/3290605.3300786;;;;1;1;
10.1111/cgf.13708;;;1;;;1
10.1109/visual.2019.8933582;;;1;;;1
10.1109/visual.2019.8933618;;;1;;;1
10.1109/tvcg.2020.2969007;;;1;;;1
10.1109/tvcg.2018.2825424;;;1;;;1
10.1007/s00371-019-01673-y;;;1;;1;
10.2312/evs.20201053;;;1;1;1;
10.1109/TVCG.2018.2864838;1;1;;;;
10.1111/cgf.13698;;;1;;;1
10.1109/tvcg.2018.2865234;;;;1;;1
10.1109/TVCG.2019.2934283;;1;;;;
10.1109/pacificvis.2018.00026;;;1;;;1
10.1109/tvcg.2017.2752166;;;1;;;1
10.1002/9781119097013;1;;;;1;
10.2312/eurova.20181112;;;1;;;1
10.1109/pacificvis.2018.00023;1;1;;;1;
10.1111/cgf.13237;1;;;;;1
10.1145/3173574.3174237;;;1;;;1
10.1145/3173574.3173962;;;1;;;1
10.1109/pacificvis.2018.00034;;;1;;;1
10.1109/tvcg.2017.2653106;;;;1;1;
10.1109/tvcg.2018.2796591;;;1;;;1
10.1109/iv.2018.00027;;;1;;;1
10.1111/cgf.13398;;;1;;;1
10.2312/eurovisshort.20181088;;;1;;;1
10.1016/j.visinf.2018.11.001;1;;;;;
10.1177/1473871616686635;;;1;;;1
10.1111/cgf.12804;;1;1;;;1
10.1109/pacificvis.2017.8031606;;;1;;;1
10.1016/j.cag.2017.02.005;;;1;;1;
10.1109/tvcg.2016.2598619;;;1;;1;
10.1111/cgf.13092;1;;;;;1
10.1109/tvcg.2016.2614803;;1;;1;1;
10.1109/tvcg.2016.2598592;;;;1;;1
10.1145/3105971.3105984;;;1;;1;
10.2312/eurovisshort.20171130;;;1;;1;
10.1109/mcg.2017.21;;;1;;;1
10.1111/cgf.12931;1;1;;;;
10.1002/wics.1392;;1;;;1;
10.1007/978-3-319-39952-2_31;;;1;;;1
10.1145/2858036.2858300;;;;1;;1
10.1109/icdm.2016.0069;;;1;;1;
10.1109/vast.2016.7883518;;;1;;1;
10.1109/pacificvis.2016.7465277;;;1;;;1
10.1109/tvcg.2015.2467553;;;1;;1;
10.1109/tvcg.2015.2502587;;;;1;;1
10.1109/vast.2016.7883519;;;1;;;1
10.1111/cgf.12910;;;1;;;1
10.1109/tvcg.2015.2513389;;;1;;;1
10.1109/tvcg.2015.2467851;;;1;;1;
10.1111/cgf.12908;;;1;;;1
10.1145/2858036.2858150;;;1;;;1
10.1109/tvcg.2015.2467751;;;;1;1;
10.1177/1473871615605347;;;1;;;1
10.2312/eurp.20161145;;;1;;;1
10.1109/mcg.2016.100;;;1;;;1
10.1109/tvcg.2015.2467752;;;;1;1;
10.2312/eurova.20161124;;;1;;;1
10.2312/eurovisshort.20161164;;;1;;;1
10.1007/s00371-015-1112-0;;;1;;;1
10.2312/eurovisstar.20151114;1;;;;;1
10.1016/j.is.2015.04.007;1;;;;;1
10.2312/eurova.20151105;;;1;;;1
10.1111/cgf.12653;;;1;;;1
10.1109/iv.2015.23;;;1;;;1
10.1109/vast.2015.7347672;;;1;;1;
10.1016/j.cag.2013.11.002;;1;1;;;1
10.2312/eurovisstar.20141171;1;1;;;;1
10.1109/vast.2014.7042522;;;1;;;1
10.1145/2556288.2557379;;;;1;;1
10.2312/eurova.20141142;;;1;;;1
10.1016/j.cag.2013.10.006;;;1;;;1
10.1109/tvcg.2014.2346250;;;1;;;1
10.1109/tvcg.2014.2346919;;;1;;;1
